name,question_1,question_2,question_4,question_5,question_6,question_7,question_8,question_9,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_18,question_19,question_20
hs6589,0,8,0,0,0,0,7,0,10,0,0,10,10,0,4,10,0,10,0
hs11889,1,8,0,0,0,1,1,10,10,0,0,10,2,4,7,10,0,10,10
hs11626,0,8,0,0,0,0,7,0,10,0,0,10,10,1,4,10,0,10,0
hs5320,0,5,10,0,0,0,7,0,10,0,0,10,10,8,8,10,0,10,0
hs2792,0,8,0,0,0,1,7,0,10,0,0,10,10,1,5,10,0,10,0
hs11212,0,5,0,0,0,3,1,10,10,0,0,10,5,10,10,10,0,10,10
hs2970,1,9,0,0,0,1,1,0,10,0,0,10,10,5,6,10,0,10,0
hs9354,0,8,10,10,0,0,7,0,10,0,0,10,10,4,5,10,0,10,0
hs11312,0,8,0,0,0,0,7,10,10,0,0,10,2,3,6,10,0,10,0
hs11810,0,7,0,0,0,0,7,10,10,0,0,10,3,4,7,10,0,10,0
hs5515,0,8,0,0,0,0,7,10,10,0,0,10,2,1,7,10,0,10,0
hs6895,0,9,0,0,0,0,1,10,10,0,0,10,1,0,7,10,0,10,10
hs5365,0,9,0,0,0,1,7,0,10,0,0,10,10,1,7,10,0,10,0
hs7146,0,7,0,0,0,2,7,0,10,0,0,10,10,2,7,10,0,10,0
hs13779,0,4,0,0,0,3,1,0,10,0,0,10,10,5,7,10,0,10,0
hs10150,0,6,0,0,0,4,7,0,10,0,0,10,10,10,10,10,0,10,0
hs4235,0,0,0,0,0,4,1,0,10,0,0,10,10,8,8,10,0,10,0
hs1947,0,5,0,0,0,1,1,0,10,0,0,10,10,2,6,10,0,10,0
hs8104,2,9,0,0,0,2,1,0,10,0,0,10,10,5,6,10,0,10,0
hs2638,0,6,0,0,0,1,7,0,10,0,0,10,10,1,7,10,0,10,0
hs9104,1,10,0,0,0,2,1,0,10,0,0,10,10,5,6,10,0,10,0
hs12133,0,6,0,0,0,1,1,0,10,0,0,10,10,4,6,10,0,10,0
hs121,0,2,0,0,0,3,7,0,10,0,0,10,10,6,7,10,0,10,0
hs575,0,7,0,0,0,3,1,0,10,0,0,10,10,8,8,10,0,10,0
hs9960,0,6,10,10,10,4,7,0,10,0,0,10,10,4,7,10,0,10,0
